BscStartDate,Asset,OriginalShorttext,PMType,Cost,RunningTime,MajorSystem,Part,Action,Variant,FM,Location,Comments,FuncLocation,SuspSugg,Rule
2004-07-01,A,BUCKET WON'T OPEN,PM01,183.05,NA,Bucket,NA,NA,NA,NA,NA,NA,BUCKET,0,Rule_1_3_5
2005-03-20,A,L/H BUCKET CYL LEAKING.,PM01,407.4,262,Bucket_Hydraulic Cylinders,Cylinder_Tilt,NA,NA,Leak,Left,NA,CYLINDER BOOM,0,Rule_1_3_5_19_115_214_434_509
2006-05-05,A,SWAP BUCKET,PM01,0,411,Bucket,NA,Replace,4,NA,NA,NA,BUCKET,0,Rule_1_3_5_399
2006-07-11,A,FIT BUCKET TOOTH,PM01,0,67,Bucket,GET,Replace,Install,NA,NA,NA,BUCKET TEETH,0,Rule_1_3_5_8_116_132_385
2006-11-10,A,REFIT BUCKET TOOTH,PM01,1157.27,122,Bucket,GET,Modify_Replace,Install,NA,NA,NA,BUCKET TEETH,0,Rule_1_3_5_8_116_132_365_385
2008-04-21,A,REPAIR LOOSE BUCKET CYLINDER,PM01,0,528,Bucket_Hydraulic Cylinders,Cylinder_Tilt,Repair,1,Missing / Loose,NA,NA,BUCKET,0,Rule_1_3_5_19_115_214_366_439
2008-10-02,A,REPLACE 2 BUCKET TEETH,PM01,1256.62,164,Bucket,GET,Replace,2V,NA,NA,NA,BUCKET TEETH,0,Rule_1_3_5_9_117_133_392_393
2001-07-12,B,REPLACE MISSING LIP TIPS,PM01,1281.36,NA,Bucket,GET,Replace,2V,Missing / Loose,NA,NA,Bucket Teeth,0,Rule_1_3_15_78_119_383_384_431
2001-07-19,B,REPLACE LIP,PM01,1251.52,7,Bucket,NA,Replace,2V,NA,NA,NA,Bucket,0,Rule_1_3_78_383_384
2001-10-01,B,rebuild lip #3,PM01,0,74,Bucket,NA,Repair,5,NA,NA,NA,Bucket Clam (Lip),0,Rule_1_3_78_362
2001-10-10,B,REPLACE BUCKET TEETH.,PM01,681.1,9,Bucket,GET,Replace,2V,NA,NA,NA,Bucket,0,Rule_1_3_5_9_115_131_383_384
2001-10-29,B,Repair RH120 lip at P&H,PM01,22611.06,19,Bucket,NA,Repair,1,NA,Right,Positional Term,Bucket Clam (Lip),0,Rule_1_3_78_357_509_514
2001-11-06,B,replace missing tip,PM01,1239.29,8,Bucket,GET,Replace,2V,Missing / Loose,NA,NA,Bucket Clam (Lip),0,Rule_1_3_15_119_383_384_431
2001-11-13,B,replace missing tip& adaptor.,PM01,221.15,7,Bucket,Adaptor_GET_Hydraulic Cylinder,Replace,2V,Missing / Loose,NA,NA,Implements,0,Rule_1_3_15_16_80_119_239_383_384_431
2001-11-16,B,Replace centre and LH lip shrouds,PM01,2118.87,3,Bucket,Wear Items,Replace,2V,NA,Left,NA,Bucket Clam (Lip),0,Rule_1_3_78_218_383_384_499
2002-01-15,B,OIL LEAK ON BUCKET....,PM01,0,60,Bucket_Hydraulic System,NA,NA,NA,Leak,NA,NA,O&K RH120C,0,Rule_1_3_5_52_425
2002-02-06,B,REPLACE ADAPTOR LOCK,PM01,346.47,22,Bucket,Adaptor_Lock_Hydraulic Cylinder,Replace,2V,NA,NA,NA,Bucket,0,Rule_1_3_16_80_163_239_383_384
2002-02-22,B,Fit a lip shroud,PM01,56.59,16,Bucket,Wear Items,Replace,Install,NA,NA,NA,Bucket Clam (Lip),0,Rule_1_3_78_218_376
2002-02-27,B,Refit left lip shroud,PM01,627.85,5,Bucket,Wear Items,Modify_Replace,Install,NA,Left,NA,Bucket,0,Rule_1_3_78_218_356_376_501
2002-03-08,B,refit adapter and tooth,PM01,1186.45,9,Bucket,Adaptor_GET,Modify_Replace,Install,NA,NA,NA,Bucket,0,Rule_1_3_8_17_82_114_130_356_376
2002-03-12,B,FIT NEW TOOTH,PM01,397.57,4,Bucket,GET,Replace,Install,NA,NA,NA,Bucket,0,Rule_1_3_8_114_130_376
2002-03-12,B,cut off broken wear package,PM01,0,0,Bucket,NA,NA,NA,Structural Integrity,NA,NA,Bucket Wall,0,Rule_1_3_460
2002-03-15,B,CHANGE ADAPTOR AND TOOTH,PM01,0,3,Bucket,Adaptor_GET_Hydraulic Cylinder,Replace,1,NA,NA,NA,Bucket,0,Rule_1_3_8_16_80_114_130_239_378
2002-03-17,B,replace adaptor & tooth,PM01,453.95,2,Bucket,Adaptor_GET_Hydraulic Cylinder,Replace,2V,NA,NA,NA,Bucket,0,Rule_1_3_8_16_80_114_130_239_383_384
2002-03-17,B,replace lip shroud pin,PM01,107.42,0,Bucket,Mount_Wear Items,Replace,2V,NA,NA,NA,Bucket,0,Rule_1_3_78_180_218_383_384
