tokens,NE,alias,notes,score
replace,S,replace,,0.033501925353136945
bucket,I,bucket,,0.018968954329366003
repair,S,repair,,0.01749908982644235
grease,I,grease,,0.017377124803796558
leak,P,leak,,0.016591041605835227
oil,I,oil,,0.01592414159258484
engine,I,engine,,0.015579561916489269
hose,I,hose,,0.014422221287312844
broken,P,broken,,0.013439448841950282
tooth,I,tooth,,0.012988103723057635
pump,I,pump,,0.01163792055333453
lube,I,lube,,0.011627013790803394
rh,I,right_hand,,0.011523863208582643
line,I,line,,0.011390565799410085
boom,I,boom,,0.010945306443786895
lh,I,left_hand,,0.010697202667027476
slew,I,slew,,0.01059587694506323
leaking,P,leak,,0.009794160993650772
shd24,I,shd,,0.008868143963038163
fault,P,fault,,0.008746611306313407
blown,P,blown,,0.008265478253322047
start,U,start,,0.008173607558549166
changeout,S,changeout,,0.007778120791121322
hyd,I,hyd,,0.007660559298033314
air,I,air,,0.007134894984940418
hydraulic,I,hyd,,0.006514056725502119
motor,I,motor,,0.00643073259262787
track,I,track,,0.005947043570561977
change,S,changeout,,0.005760123949404982
missing,P,missing,,0.005585280338583634
stick,P,stick,,0.005502911526963489
working,U,working,,0.0054565200162633755
filter,I,filter,,0.005052880644823259
jump,S,jump,,0.004906793839399746
cylinder,I,cylinder,,0.004901309888681065
fan,I,fan,,0.004564991568653601
eng,I,engine,,0.004534109940762446
pin,I,pin,,0.00431090745349248
cab,I,cab,,0.004096792397567178
pressure,I,pressure,,0.00406732687017026
pipe,I,pipe,,0.0040304596640386645
tank,I,tank,,0.003949653714103545
lines,I,line,,0.00394185924734206
pto,I,pto,,0.0039058002383262867
filters,I,filter,,0.003808130282315632
fuel,I,fuel,,0.0037291364317151095
drive,I,drive,,0.003626197539047896
valve,I,valve,,0.003613425955213807
light,I,light,,0.0035331844761582365
low,U,low,,0.0035184148298078965
lost,P,lost,,0.003514986855986709
rf,I,rf,,0.003480923004687565
lights,I,light,,0.0033959010035462364
switch,I,switch,,0.003370848478714249
repairs,S,repair,,0.003344071283831288
left,I,left,,0.003275472048610213
alarm,P,alarm,,0.003267084795081852
exhaust,I,exhaust,,0.003229242826649009
hoses,I,hose,,0.0032027121575570762
ring,I,ring,,0.003179830947687548
reseal,S,reseal,,0.003172783428575564
roller,I,roller,,0.003081975431437537
text,I,text,,0.003080526133650749
bolts,I,bolts,,0.003069649943171293
control,I,control,,0.00301576072863022
servo,I,servo,,0.003009959453599261
teeth,I,tooth,,0.002984943393429593
fit,,,,0.002964488309655894
hand,I,hand,,0.0029584775189881282
loose,P,loose,,0.002949019688682208
shd0024,I,shd,,0.0029310615067670125
leaks,P,leak,,0.002913498857164087
check,S,check,,0.002904225389015208
cyl,I,cylinder,,0.002887080300163805
main,U,main,,0.002879988271617951
brake,I,brake,,0.002869120776044405
coolant,I,coolant,,0.002809625123382736
cracked,P,cracked,,0.00280165030521227
seal,I,seal,,0.0027727321601668533
radiator,I,radiator,,0.002766242139733985
right,I,right,,0.002755694739616639
lip,I,lip,,0.002743975750086845
travel,I,travel,,0.002730338391861659
wont,U,wont,,0.002616464628402101
turbo,I,turbo,,0.002600057926788427
machine,I,machine,,0.00257826342881528
box,I,box,,0.002529531809982613
contamination,P,contamination,,0.0025084463416305074
belt,I,belt,,0.002456892438117843
shroud,I,shroud,,0.0024482337341993512
cooler,I,cooler,,0.002427285217127971
access,I,access,,0.0024235448610427012
crowd,U,crowd,"I don't know this dataset well enough to say what this is...
",0.002422741823672964
clam,I,clamp,"I am going to assume this meant clamp, not ""clam""",0.002416272502522685
fitting,I,fitting,,0.0023777333520946173
cooling,U,cooling,,0.002351093712444391
water,I,water,,0.0023380973642900442
won,U,won,idk what this is without context,0.002307940077679317
temp,U,temp,could be temporary or temperature,0.002284568670450751
final,I,final,,0.0022271486325372487
door,I,door,,0.0022098170354425007
radio,I,radio,,0.0021886652085783614
steel,I,steel,,0.002082570413329859
adaptor,I,adaptor,,0.002068923988804351
rear,I,rear,,0.002048399801625595
damage,P,damage,,0.0020000916693878735
power,U,power,,0.0019668850694762106
hp,U,hp,"could be horsepower or high pressure
",0.0019662829585321705
coming,X,coming,,0.0019599574789587386
tip,I,tip,,0.001953741464275416
clamp,I,clamp,"I am going to assume this meant clamp, not ""clam""",0.0019492800264083977
way,X,way,,0.001946141334818707
block,U,block,"""engine block"" vs ""to Block""
",0.0019456668420887472
rhs,I,right_hand,,0.0019280708214404981
damaged,P,damage,,0.0018650214625889913
warranty,I,warranty,,0.0018485734797679906
seat,U,seat,A seat vs to seat,0.001840537138698724
idler,I,idler,,0.0018393338938548823
engines,I,engine,,0.001839032538445629
refit,,refit,,0.0017914778233527274
gearbox,I,gearbox,,0.0017784304151139305
stairs,I,stairs,,0.0017626486013858698
mount,U,mount,to mount vs a mount,0.0017429845815440876
gauge,I,gauge,,0.00173325994159758
crack,P,cracked,,0.0017046512613763064
