tokens,NE,alias,notes,score
oil leak,PI,oil leak,,0.012518860844550828
grease line,I,grease_line,,0.008323554122102166
bucket tooth,I,bucket_tooth,,0.0065284918341134935
broken grease,PI,broken grease,,0.006921415212242871
jump start,S,jump_start,,0.007048966989473424
lube fault,PI,lube fault,,0.006147838509540754
line bucket,I,line_bucket,,0.004996477963688804
replace bucket,SI,replace bucket,,0.005732028819842803
replace tooth,SI,replace tooth,,0.005058666199404186
hyd hose,I,hyd_hose,,0.002990395117011482
right_hand engine,I,right_hand_engine,,0.00506547004901093
left_hand engine,I,left_hand_engine,,0.004114975833312657
slew motor,I,slew_motor,,0.003754397507419199
replace grease,SI,replace grease,,0.003651881611253057
replace broken,X,replace broken,,0.003994896160898544
hyd oil,I,hyd_oil,,0.001224101527600054
leak boom,PI,leak boom,,0.003091721699256603
blown hyd,PI,blown hyd,,0.00148813735703118
replace missing,X,replace missing,,0.0032924674680078624
hyd leak,PI,hyd leak,,0.0016661151896066224
replace right_hand,SI,replace right_hand,,0.002891452183224095
track roller,I,track_roller,,0.002712117995108744
replace air,SI,replace air,,0.002839243135875399
repair hyd,SI,repair hyd,,0.0014959438855663147
repair oil,SI,repair oil,,0.002780170988072076
engine oil,I,engine_oil,,0.002097923268115818
lube pump,I,lube_pump,,0.002630993469467969
lost tooth,PI,lost tooth,,0.0024630464563456856
repair grease,SI,repair grease,,0.002356232075805173
replace blown,X,replace blown,,0.002161822269654458
grease pump,I,grease_pump,,0.002369321607585861
stick cylinder,PI,stick cylinder,,0.0017656773807382454
final drive,I,final_drive,,0.002263440707101653
air filter,I,air_filter,,0.0005740185193779657
replace left_hand,SI,replace left_hand,,0.0023740985861400807
hose leak,PI,hose leak,,0.0006093453066077075
slew brake,I,slew_brake,,0.001748192297823997
wont start,P,wont_start,,0.0021197434206938546
repair broken,X,repair broken,,0.0022055144623767697
replace engine,SI,replace engine,,0.0019622229594478697
grease leak,PI,grease leak,,0.002052296504646446
engine won,,engine won,,0.001616422208227508
boom cylinder,I,boom_cylinder,,0.0013150324094340384
engine wont,,engine wont,,0.0016428297999061595
lip shroud,I,lip_shroud,,0.0019758501778039954
rf check,SI,rf check,,0.002098045878329352
leak engine,PI,leak engine,,0.0015923894644691153
replace hyd,SI,replace hyd,,0.001282956597979183
right_hand track,I,right_hand_track,,0.0016510150654347893
grease fault,PI,grease fault,,0.0016416047561648374
bucket cylinder,I,bucket_cylinder,,0.0011033841264496821
lube line,I,lube_line,,0.0016877963178718587
won start,P,wont_start,,0.0018633271593122304
changeout right_hand,SI,changeout right_hand,,0.0018275540061796602
right_hand slew,I,right_hand_slew,,0.0018345851978042824
engine shutting,,engine shutting,,0.0007938942438137653
blown hose,PI,blown hose,,0.0017017667701315464
main pump,I,main_pump,,0.0017174181128459505
repair cracked,X,repair cracked,,0.00023032509970267987
air cleaners,SI,air cleaners,,0.0014813783093417258
bucket pin,I,bucket_pin,,0.0013567556027275374
missing bucket,PI,missing bucket,,0.001837949496215929
fault shd,PI,fault shd,,0.001723100080940874
changeout left,SI,changeout left,,0.0017585890336748403
changeout left_hand,SI,changeout left_hand,,0.0017309557536822374
leak left_hand,PI,leak left_hand,,0.0016711379151763853
changeout right,SI,changeout right,,0.0015596844936872055
pump leak,PI,pump leak,,0.00015205646594802392
replace hose,SI,replace hose,,0.0011617426167435233
control valve,I,control_valve,,0.001434844279220949
hp filter,I,high_pressure_filter,,0.001144235234341904
replace slew,SI,replace slew,,0.0015285975777700573
engine start,,engine start,,0.0010795708570371183
left_hand track,I,left_hand_track,,0.0013786141340981779
left_hand slew,I,left_hand_slew,,0.0014963083120830489
broken bucket,PI,broken bucket,,0.0013507039728573712
slew hose,I,slew_hose,,0.0014525751581993356
leak shd,PI,leak shd,,0.0014644396997000474
tooth shd,I,tooth_shd,,0.0014883806145775493
engine overheating,PI,engine overheating,,0.0011135437454895714
engine bay,I,engine_bay,,0.0010233269990305128
leak right_hand,PI,leak right_hand,,0.0013582000402448768
travel motor,I,travel_motor,,0.0012642518565591698
coolant leak,PI,coolant leak,,0.0012980950625148492
exhaust leak,PI,exhaust leak,,0.0007043477909440091
pto lube,I,pto_lube,,0.0013474423389955542
changeout bucket,SI,changeout bucket,,0.0004160080037353775
repair lube,SI,repair lube,,0.001336681032212
check cooling,SI,check cooling,,0.0013234833063880671
fan pump,I,fan_pump,,0.0012569088939644812
centrifugal filter,I,centrifugal_filter,,0.0010179673466550727
shd 24,I,shd_24,,0.0015264365343796182
air horn,I,air_horn,,0.0002886142343003806
access stairs,I,access_stairs,,0.0012025043686456323
leak bucket,PI,leak bucket,,0.0012239100560171095
engine fan,I,engine_fan,,0.0009582817954465874
right hand,I,right_hand,,0.0012518223517863287
left hand,I,left_hand,,0.0012630615686657642
replace leak,X,replace leak,,0.0012313074423819404
track pin,I,track_pin,,0.001145444089569165
rf replace,SI,rf replace,,0.0012491912453166975
start machine,SI,start machine,,0.0012548374512661655
boom pipe,I,boom_pipe,,0.0008821651619164355
replace ring,SI,replace ring,,0.0009292605668327108
right_hand boom,I,right_hand_boom,,0.001188669010696158
water leak,PI,water leak,,0.0008961479229726255
engine exhaust,I,engine_exhaust,,0.0009127436759067988
oil filter,I,oil_filter,,0.000504689961498709
fan motor,I,fan_motor,,0.001130157719327663
hose shd,I,hose_shd,,0.001128708810472701
fan belt,I,fan_belt,,0.001196918155210614
servo pump,I,servo_pump,,0.0010932965332867493
leak slew,PI,leak slew,,0.0009258703647684887
missing tooth,PI,missing tooth,,0.0011088184187680824
pump drive,I,pump_drive,,0.0011481169617934821
